id,path,line_number
nmnhanthropology_8382890,metadata/objects/NMNHANTHRO/b5.txt.bz2,1285
nmnhanthropology_8427846,metadata/objects/NMNHANTHRO/b7.txt.bz2,1391
nmnhanthropology_8503101,metadata/objects/NMNHANTHRO/c6.txt.bz2,713
nmnhanthropology_8375187,metadata/objects/NMNHANTHRO/b9.txt.bz2,1228
nmnhanthropology_8367062,metadata/objects/NMNHANTHRO/be.txt.bz2,1221
nmnhanthropology_8503100,metadata/objects/NMNHANTHRO/ce.txt.bz2,748
nmnhanthropology_8399336,metadata/objects/NMNHANTHRO/d0.txt.bz2,804
nmnhanthropology_8375174,metadata/objects/NMNHANTHRO/cc.txt.bz2,1172
nmnhanthropology_8456327,metadata/objects/NMNHANTHRO/cd.txt.bz2,804
nmnhanthropology_8375173,metadata/objects/NMNHANTHRO/cb.txt.bz2,1264
nmnhanthropology_8399338,metadata/objects/NMNHANTHRO/cf.txt.bz2,987
nmnhanthropology_8375192,metadata/objects/NMNHANTHRO/cb.txt.bz2,1265
nmnhanthropology_8375188,metadata/objects/NMNHANTHRO/d1.txt.bz2,1175
nmnhanthropology_8399909,metadata/objects/NMNHANTHRO/d9.txt.bz2,754
nmnhanthropology_8423809,metadata/objects/NMNHANTHRO/c9.txt.bz2,1631
nmnhanthropology_8386525,metadata/objects/NMNHANTHRO/da.txt.bz2,1083
nmnhanthropology_8375182,metadata/objects/NMNHANTHRO/d9.txt.bz2,1098
nmnhanthropology_8421495,metadata/objects/NMNHANTHRO/d0.txt.bz2,1375
nmnhanthropology_8357834,metadata/objects/NMNHANTHRO/e3.txt.bz2,919
nmnhanthropology_8456067,metadata/objects/NMNHANTHRO/f1.txt.bz2,348
nmnhanthropology_8546812,metadata/objects/NMNHANTHRO/e1.txt.bz2,1416
nmnhanthropology_8388027,metadata/objects/NMNHANTHRO/de.txt.bz2,1200
nmnhanthropology_8375176,metadata/objects/NMNHANTHRO/e3.txt.bz2,1041
nmnhanthropology_8413241,metadata/objects/NMNHANTHRO/d7.txt.bz2,1810
nmnhanthropology_8396210,metadata/objects/NMNHANTHRO/f7.txt.bz2,772
nmnhanthropology_8427658,metadata/objects/NMNHANTHRO/e4.txt.bz2,1459
nmnhanthropology_8503115,metadata/objects/NMNHANTHRO/ed.txt.bz2,1190
nmnhanthropology_8375189,metadata/objects/NMNHANTHRO/f7.txt.bz2,1174
nmnhanthropology_8375181,metadata/objects/NMNHANTHRO/fb.txt.bz2,1213
nmnhanthropology_8426013,metadata/objects/NMNHANTHRO/f3.txt.bz2,1477
nmnhbotany_14542972,metadata/objects/NMNHBOTANY/3c.txt.bz2,1074
nmnhbotany_14626599,metadata/objects/NMNHBOTANY/3d.txt.bz2,1073
nmnhbotany_2778893,metadata/objects/NMNHBOTANY/56.txt.bz2,193
nmnhbotany_2778110,metadata/objects/NMNHBOTANY/2d.txt.bz2,15
nmnhbotany_14625894,metadata/objects/NMNHBOTANY/20.txt.bz2,593
nmnhbotany_14538866,metadata/objects/NMNHBOTANY/3f.txt.bz2,1054
nmnhbotany_14540614,metadata/objects/NMNHBOTANY/20.txt.bz2,594
nmnhbotany_14626406,metadata/objects/NMNHBOTANY/23.txt.bz2,578
nmnhbotany_15202419,metadata/objects/NMNHBOTANY/56.txt.bz2,1207
nmnhbotany_14626782,metadata/objects/NMNHBOTANY/26.txt.bz2,567
nmnhbotany_2774926,metadata/objects/NMNHBOTANY/31.txt.bz2,193
nmnhbotany_14625850,metadata/objects/NMNHBOTANY/27.txt.bz2,564
nmnhbotany_14545059,metadata/objects/NMNHBOTANY/22.txt.bz2,655
nmnhbotany_14626716,metadata/objects/NMNHBOTANY/20.txt.bz2,596
nmnhbotany_14625359,metadata/objects/NMNHBOTANY/1d.txt.bz2,2347
nmnhbotany_14552409,metadata/objects/NMNHBOTANY/2b.txt.bz2,602
nmnhbotany_14625259,metadata/objects/NMNHBOTANY/2d.txt.bz2,631
nmnhbotany_13086088,metadata/objects/NMNHBOTANY/41.txt.bz2,978
nmnhbotany_14625897,metadata/objects/NMNHBOTANY/26.txt.bz2,568
nmnhbotany_14626610,metadata/objects/NMNHBOTANY/24.txt.bz2,581
nmnhbotany_14626130,metadata/objects/NMNHBOTANY/1d.txt.bz2,2348
nmnhbotany_14551452,metadata/objects/NMNHBOTANY/2c.txt.bz2,560
nmnhbotany_14625393,metadata/objects/NMNHBOTANY/2e.txt.bz2,614
nmnhbotany_14550839,metadata/objects/NMNHBOTANY/2e.txt.bz2,617
nmnhbotany_14626081,metadata/objects/NMNHBOTANY/24.txt.bz2,582
nmnhbotany_14913002,metadata/objects/NMNHBOTANY/45.txt.bz2,187
nmnhbotany_14625559,metadata/objects/NMNHBOTANY/24.txt.bz2,584
